Neighbourhood,NID,BCS,CCS,DineSafe,FemFertil,HealthProviders,PremMort,StudentNutrition
West Humber-Clairville,1,57.02,60.52,10,59.92327882,101,223.8,1105
Mount Olive-Silverstone-Jamestown,2,50.14,55.75,2,64.41002104,44,242.6,5132
Thistletown-Beaumond Heights,3,55.22,61.15,4,57.48086291,14,226.1,950
Rexdale-Kipling,4,54.28,64.69,0,45.58629776,6,282.7,180
Elms-Old Rexdale,5,55.15,61.54,1,61.392833,1,163.6,2030
Kingsview Village-The Westway,6,57.08,59.07,4,59.80024969,24,181.9,1740
Willowridge-Martingrove-Richview,7,61.92,64.86,0,44.86638537,31,172.6,1325
Humber Heights-Westmount,8,58.84,67.05,0,44.99252616,4,207.9,380
Edenbridge-Humber Valley,9,64.79,69.06,2,30.9623431,10,193,0
Princess-Rosethorn,10,66.97,72.66,0,24.34077079,6,189.8,0
Eringate-Centennial-West Deane,11,64.08,67.08,3,36.25192012,10,173.9,100
Markland Wood,12,66.49,69.87,0,30.31709203,14,199.1,0
Etobicoke West Mall,13,58.38,64.42,0,42.27642276,10,196.3,320
Islington-City Centre West,14,61.02,66.48,12,46.91358025,128,222.4,744
Kingsway South,15,71.8,74.95,0,41.16094987,9,130.1,75
Stonegate-Queensway,16,62.59,70.24,4,43.48823867,66,178.1,200
Mimico,17,56.12,65.23,8,44.52626411,22,250.7,525
New Toronto,18,52.45,64.08,10,46.07329843,14,333.6,1005
Long Branch,19,49.9,62.88,2,43.03147078,4,300.8,170
Alderwood,20,57.97,66.16,1,40.2359882,13,271,75
Humber Summit,21,62.53,60.81,2,56.83060109,14,234.1,1770
Humbermede,22,59.85,61.43,0,62.16450216,16,180.3,2715
Pelmo Park-Humberlea,23,61.2,62.94,1,49.46727549,4,210.9,0
Black Creek,24,54.35,59.38,8,63.50817823,36,214.8,3610
Glenfield-Jane Heights,25,60.44,61.63,10,55.82177385,93,225.9,5855
Downsview-Roding-CFB,26,60.39,63.3,58,58.01649567,88,227.1,4377
York University Heights,27,59.93,58.9,46,52.58659469,67,186.5,4065
Rustic,28,62.86,62.96,0,64.03162055,2,210.3,1182
Maple Leaf,29,57.9,62.01,0,50.20576132,4,192.9,700
Brookhaven-Amesbury,30,55.65,62.39,1,56.4206269,45,218.3,1030
Yorkdale-Glen Park,31,60.88,63.93,9,44.03409091,46,212.3,1385
Englemount-Lawrence,32,60.03,63.4,2,62.99516908,8,230.5,2895
Clanton Park,33,60.71,65.88,23,49.40312213,48,183.6,0
Bathurst Manor,34,61.46,64.64,9,42.58484426,41,161.7,0
Westminster-Branson,35,59.75,62.28,1,38.19444444,5,187.5,0
Newtonbrook West,36,60.78,61.49,10,37.66478343,55,154.1,650
Willowdale West,37,65.83,65.32,17,42.27093873,31,180.2,0
Lansing-Westgate,38,65.57,69.03,5,49.19653894,37,147.4,276
Bedford Park-Nortown,39,70.12,71.82,13,47.47663551,50,114.9,150
St.Andrew-Windfields,40,71.59,68.61,0,26.54867257,34,147.1,60
Bridle Path-Sunnybrook-York Mills,41,70.44,71.44,2,25.87346553,8,108,50
Banbury-Don Mills,42,67.07,67.37,10,39.10582909,65,156.1,300
Victoria Village,43,60.88,62.32,2,53.1655225,9,240.2,725
Flemingdon Park,44,54.31,56.89,4,55.54624197,8,199.4,5660
Parkwoods-Donalda,45,61.64,65.5,1,42.63013699,32,196.8,2320
Pleasant View,46,68.93,64.32,0,37.01996928,11,132,0
Don Valley Village,47,64.43,64.27,0,44.13729555,58,146.1,1385
Hillcrest Village,48,69.6,61.75,15,25.68008705,19,126.9,0
Bayview Woods-Steeles,49,70.49,64.21,1,21.72284644,10,171.5,380
Newtonbrook East,50,63.89,61.09,14,30.12820513,50,173.1,28
Willowdale East,51,63.79,60.85,23,36.19265472,64,147.4,0
Bayview Village,52,68.01,65.4,2,31.40877598,128,117.1,0
Henry Farm,53,61.6,63.13,2,47.87339268,77,150.1,0
O'Connor-Parkview,54,62.87,64.78,5,49.09222948,18,230.3,1250
Thorncliffe Park,55,49.73,54.51,7,87.64769066,18,211.2,1450
Leaside-Bennington,56,67.52,74.51,0,42.12314225,10,147.4,0
Broadview North,57,59.24,64.02,13,46.32426989,10,226.9,421
Old East York,58,61.88,67.94,3,40.14336918,3,233.3,610
Danforth-East York,59,62.77,69.92,5,49.86757473,33,220.3,0
Woodbine-Lumsden,60,59.48,66.49,1,40.97859327,1,260.5,261
Taylor-Massey,61,58.04,58.35,5,65.09248327,9,272.2,1890
East End-Danforth,62,60.69,67.34,14,44.74074074,46,330.7,60
The Beaches,63,64.61,73.55,5,41.24742571,24,221.2,0
Woodbine Corridor,64,61.21,71.37,2,53.83838384,11,323.1,975
Greenwood-Coxwell,65,57.98,65.02,11,45.44734759,23,308.8,2030
Danforth,66,58.84,67.2,3,46.33204633,53,276,320
Playter Estates-Danforth,67,67.11,72.07,13,34.48806774,37,206.1,0
North Riverdale,68,63.38,71.11,31,38.91402715,31,274.5,753
Blake-Jones,69,57.35,66.87,15,48.83895131,12,288,933
South Riverdale,70,53.75,64.22,23,49.55539534,36,282.8,2152
Cabbagetown-South St.James Town,71,57.32,63.39,9,26.59033079,18,394.1,1840
Regent Park,72,53.38,55.03,1,52.11505922,1,391,930
Moss Park,73,54.91,60.33,7,37.83560512,19,614.6,2443
